"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",4,47570153,11892538,77.44727724772702
"hsa_amd_memory_pool_allocate",24,6784269,282677,11.045227501499935
"hsa_signal_wait_scacquire",74,1694809,22902,2.7592583632207988
"hsa_amd_memory_async_copy",32,1068866,33402,1.7401827873597333
"hsa_amd_memory_pool_free",20,837405,41870,1.363349350666012
"hsa_agent_get_info",65,764114,11755,1.2440268755677468
"hsa_executable_load_agent_code_object",2,604473,302236,0.9841210310962273
"hsa_amd_agents_allow_access",20,537142,26857,0.8745018204040375
"hsa_signal_create",547,500153,914,0.8142813426999574
"hsa_executable_freeze",2,332962,166481,0.5420836112710775
"hsa_signal_load_relaxed",1496,123321,82,0.20077454191637648
"hsa_signal_destroy",546,102760,188,0.1672999077799146
"hsa_code_object_reader_create_from_memory",2,97010,48505,0.15793853691834872
"hsa_amd_signal_async_handler",32,82190,2568,0.13381062106297373
"hsa_isa_get_info_alt",2,74801,37400,0.12178085248973718
"hsa_executable_iterate_symbols",16,55820,3488,0.09087856025958381
"hsa_executable_create_alt",2,24260,12130,0.039496844713319657
"hsa_iterate_agents",1,24220,24220,0.039431722133413116
"hsa_amd_pointer_info",128,21370,166,0.03479173831507177
"hsa_executable_symbol_get_info",260,15970,61,0.026000190027688167
"hsa_signal_store_screlease",48,15030,313,0.024469809399884357
"hsa_amd_agent_iterate_memory_pools",4,13870,3467,0.022581254582594544
"hsa_amd_profiling_get_async_copy_time",32,13490,421,0.021962590073482367
"hsa_queue_load_read_index_relaxed",48,12480,260,0.0203182449308421
"hsa_amd_profiling_set_profiler_enabled",4,9170,2292,0.014929351443575484
"hsa_amd_profiling_get_dispatch_time",16,7110,444,0.011575538578388408
"hsa_executable_get_symbol_by_name",16,6530,408,0.010631261169743502
"hsa_queue_add_write_index_screlease",48,5490,114,0.008938074092173327
"hsa_signal_silent_store_relaxed",80,5350,66,0.008710145062500419
"hsa_amd_profiling_async_copy_enable",8,4790,598,0.007798428943808787
"hsa_amd_memory_pool_get_info",27,4010,148,0.006528538635631156
"hsa_queue_load_read_index_scacquire",48,3000,62,0.00488419349299089
"hsa_amd_memory_copy_engine_status",2,2180,1090,0.0035491806049067127
"hsa_agent_iterate_isas",1,1860,1860,0.0030281999656543513
"hsa_amd_agent_memory_pool_get_info",9,1470,163,0.0023932548115655357
"hsa_system_get_info",4,370,92,0.000602383864135543
"hsa_system_get_major_extension_table",1,360,360,0.0005861032191589067
